tanggal,keterangan
4 Juli 2021,Libur
11 Juli 2021,Libur
12 Juli 2021,Hari pertama masuk semester ganjil TA 2021/2022
18 Juli 2021,Libur
20 Juli 2021,Hari Raya Idul Adha
25 Juli 2021,Libur
01 Agustus 2021,Libur
08 Agustus 2021,Libur
10 Agustus 2021,Tahun Baru Islam 1443 H
15 Agustus 2021,Libur
17 Agustus 2021,HUT kemerdekaan RI
22 Agustus 2021,Libur
29 Agustus 2021,Libur
05 September 2021,Libur
12 September 2021,Libur
26 September 2021,Libur
3 Oktober 2021,Libur
10 Oktober 2021,Libur
17 Oktober 2021,Libur
17 Oktober 2021,Libur
19 Oktober 2021,Maulid Nabi Muhammad SAW
24 Oktober 2021,Libur
31 Oktober 2021,Libur
7 November 2021,Libur
14 November 2021,Libur
21 November 2021,Libur
28 November 2021,Libur
05 Desember 2021,Libur
12 Desember 2021,Libur
19 Desember 2021,Libur
24 Desember 2021,Hari Raya Natal
25 Desember 2021,Hari Raya Natal
26 Desember 2021,Libur
1 Januari 2022,Tahun Baru Masehi
2 Januari 2022,Libur
3 Januari 2022,HAB Kementrian Agama
9 Januari 2022,Libur
16 Januari 2022,Libur
23 Januari 2022,Libur
30 Januari 2022,Libur
1 Februari 2022,Tahun Baru Imlek
6 Februari 2022,Libur
13 Februari 2022,Libur
20 Februari 2022,Libur
27 Februari 2022,Libur
1 Maret 2022,Isra Miraj Nabi Muhammad SAW
3 Maret 2022,Hari Raya Nyepi
6 Maret 2022,Libur
13 Maret 2022,Libur
20 Maret 2022,Libur
27 Maret 2022,Libur
3 April 2022,Libur
10 April 2022,Libur
15 April 2022,Wafat Yesus Kristus
24 April 2022,Libur
1 Mei 2022,Hari Buruh Internasional
2 Mei 2022,Hari Raya Idul Fitri
3 Mei 2022,Hari Raya Idul Fitri
8 Mei 2022,Libur
15 Mei 2022,Libur
16 Mei 2022,Hari Raya Waisak
22 Mei 2022,Libur
26 Mei 2022,Kenaikan Isa Almasih
29 Mei 2022,Libur
5 Juni 2022,Libur
12 Juni 2022,Libur
19 Juni 2022,Libur
26 Juni 2022,Libur
